Pitch,Roll,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z
6.241479,4.6651597,0.08126174,-0.01324912,0.040680278,0.8283938,-9.457097,-0.48841715
6.241388,4.665243,0.08126174,-0.01324912,0.049202394,0.8331822,-9.437943,-0.4405331
6.2413006,4.6653233,0.08126174,-0.01324912,0.049202394,0.8331822,-9.437943,-0.4405331
6.2412186,4.6654105,0.08126174,-0.015379649,0.056659244,0.842759,-9.394848,-0.4213795
6.2411366,4.6654973,0.08126174,-0.015379649,0.056659244,0.842759,-9.394848,-0.4213795
6.241062,4.665574,0.08126174,-0.015379649,0.06518136,0.8714894,-9.41879,-0.45489833
6.2409883,4.6656513,0.08126174,-0.015379649,0.06518136,0.8714894,-9.41879,-0.45489833
6.2409215,4.665737,0.08126174,-0.015379649,0.07263821,0.8858546,-9.399636,-0.4213795
6.240855,4.665823,0.08126174,-0.015379649,0.07263821,0.8858546,-9.399636,-0.4213795
6.2407994,4.665897,0.07913121,-0.016444914,0.08329086,0.8571242,-9.346964,-0.45010993
6.2407436,4.665971,0.07913121,-0.016444914,0.08329086,0.8571242,-9.346964,-0.45010993
6.240697,4.6660643,0.07700068,-0.016444914,0.089682445,0.8379706,-9.433155,-0.38307226
6.2406497,4.6661577,0.07700068,-0.016444914,0.089682445,0.8379706,-9.433155,-0.38307226
6.240607,4.6662493,0.074870154,-0.015379649,0.0939435,0.8283938,-9.428367,-0.38307226
6.240564,4.6663404,0.074870154,-0.015379649,0.0939435,0.8283938,-9.428367,-0.38307226
6.240526,4.6664257,0.07167436,-0.012183856,0.10033509,0.81402856,-9.423578,-0.39264908
6.240489,4.6665106,0.07167436,-0.012183856,0.10033509,0.81402856,-9.423578,-0.39264908
6.240456,4.6665735,0.0674133,-0.011118591,0.106726676,0.81402856,-9.399636,-0.44532153
6.240423,4.6666355,0.0674133,-0.011118591,0.106726676,0.81402856,-9.399636,-0.44532153
6.2403955,4.6666956,0.06315224,-0.008988062,0.112053,0.81402856,-9.437943,-0.4405331
6.240368,4.6667557,0.06315224,-0.008988062,0.112053,0.81402856,-9.437943,-0.4405331
6.2403445,4.6668015,0.05782592,-0.007922798,0.11524879,0.79966336,-9.437943,-0.46447513
6.2403207,4.666847,0.05782592,-0.007922798,0.11524879,0.79966336,-9.437943,-0.46447513
6.240304,4.666888,0.051434334,-0.005792269,0.12270564,0.7613561,-9.495404,-0.45968673
6.2402873,4.666929,0.051434334,-0.005792269,0.12270564,0.7613561,-9.495404,-0.45968673
6.240285,4.6670074,0.045042746,-0.00366174,0.12803197,0.7469909,-9.509769,-0.34476504
6.240282,4.6670866,0.045042746,-0.00366174,0.12803197,0.7469909,-9.509769,-0.34476504
6.2402773,4.6671257,0.03865116,-0.0015312112,0.13548881,0.7182605,-9.524135,-0.4309563
6.240273,4.667165,0.03865116,-0.0015312112,0.13548881,0.7182605,-9.524135,-0.4309563
6.2402806,4.667227,0.032259572,-0.0015312112,0.14081514,0.7182605,-9.557653,-0.36391866
6.2402883,4.667289,0.032259572,-0.0015312112,0.14081514,0.7182605,-9.557653,-0.36391866
6.240296,4.667334,0.026933251,0.0016645822,0.1450762,0.7038953,-9.56723,-0.39264908
6.2403035,4.66738,0.026933251,0.0016645822,0.1450762,0.7038953,-9.56723,-0.39264908
6.2403145,4.667409,0.018411135,0.00592564,0.15040252,0.6655881,-9.557653,-0.41180268
6.2403255,4.667438,0.018411135,0.00592564,0.15040252,0.6655881,-9.557653,-0.41180268
6.2403536,4.6674943,0.012019549,0.008056169,0.15359831,0.6751649,-9.605537,-0.33997664
6.2403817,4.66755,0.012019549,0.008056169,0.15359831,0.6751649,-9.605537,-0.33997664
6.2404017,4.667577,0.005627962,0.012317227,0.15785937,0.6464345,-9.605537,-0.39743748
6.240422,4.6676025,0.005627962,0.012317227,0.15785937,0.6464345,-9.605537,-0.39743748
6.2404413,4.6676,-0.0007636249,0.01551302,0.1599899,0.61770403,-9.639056,-0.4357447
6.2404604,4.667598,-0.0007636249,0.01551302,0.1599899,0.61770403,-9.639056,-0.4357447
6.2404857,4.667614,-0.008220476,0.01551302,0.16212043,0.61291564,-9.629479,-0.39743748
6.2405114,4.6676292,-0.008220476,0.01551302,0.16212043,0.61291564,-9.629479,-0.39743748
