Pitch,Roll,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z
0.023983613,4.5322313,-0.0018288894,0.032557253,0.09820456,0.33039984,-9.509769,-1.6663644
0.02389117,4.532238,-0.0028941538,0.033622514,0.102465615,0.29688102,-9.528923,-1.7429788
0.023846218,4.5322323,-0.0028941538,0.033622514,0.102465615,0.29688102,-9.528923,-1.7429788
0.023805562,4.532221,-0.0039594183,0.032557253,0.106726676,0.31124622,-9.485827,-1.7525556
0.023764875,4.5322094,-0.0039594183,0.032557253,0.106726676,0.31124622,-9.485827,-1.7525556
0.02372735,4.5322037,-0.0050246827,0.032557253,0.10992247,0.33997664,-9.557653,-1.7381904
0.023689738,4.532198,-0.0050246827,0.032557253,0.10992247,0.33997664,-9.557653,-1.7381904
0.023656957,4.532173,-0.006089947,0.031491987,0.11311826,0.35434186,-9.481039,-1.8004397
0.023624325,4.5321493,-0.006089947,0.031491987,0.11311826,0.35434186,-9.481039,-1.8004397
0.023592053,4.532137,-0.0071552116,0.031491987,0.11524879,0.31124622,-9.514558,-1.7477672
0.023559779,4.5321255,-0.0071552116,0.031491987,0.11524879,0.31124622,-9.514558,-1.7477672
0.023531673,4.5321198,-0.0071552116,0.031491987,0.119509846,0.33997664,-9.500193,-1.7190368
0.023504006,4.5321145,-0.0071552116,0.031491987,0.119509846,0.33997664,-9.500193,-1.7190368
0.023478057,4.532106,-0.0071552116,0.031491987,0.12164038,0.30645782,-9.490616,-1.7286136
0.023452183,4.5320983,-0.0071552116,0.031491987,0.12164038,0.30645782,-9.490616,-1.7286136
0.023426339,4.5320826,-0.006089947,0.032557253,0.12164038,0.31124622,-9.514558,-1.7669208
0.023400456,4.532067,-0.006089947,0.032557253,0.12164038,0.31124622,-9.514558,-1.7669208
0.0233767,4.532078,-0.0039594183,0.032557253,0.12164038,0.29688102,-9.56723,-1.6807296
0.023352886,4.532089,-0.0039594183,0.032557253,0.12164038,0.29688102,-9.56723,-1.6807296
0.023327343,4.532094,-0.0018288894,0.033622514,0.12164038,0.32561144,-9.586384,-1.7142484
0.023301741,4.5320992,-0.0018288894,0.033622514,0.12164038,0.32561144,-9.586384,-1.7142484
0.0232763,4.5320916,-0.0007636249,0.033622514,0.12270564,0.2873042,-9.581595,-1.7669208
0.023251342,4.5320845,-0.0007636249,0.033622514,0.12270564,0.2873042,-9.581595,-1.7669208
0.023226684,4.532087,0.00030163955,0.031491987,0.12270564,0.30166942,-9.557653,-1.7286136
0.023201898,4.532089,0.00030163955,0.031491987,0.12270564,0.30166942,-9.557653,-1.7286136
0.023175519,4.532089,0.0024321685,0.030426722,0.12164038,0.31603462,-9.605537,-1.757344
0.023150377,4.5320888,0.0024321685,0.030426722,0.12164038,0.31603462,-9.605537,-1.757344
0.0231222,4.5320973,0.0024321685,0.030426722,0.118444584,0.320823,-9.595961,-1.7190368
0.023093851,4.5321064,0.0024321685,0.030426722,0.118444584,0.320823,-9.595961,-1.7190368
0.023063201,4.532111,0.003497433,0.029361458,0.11631405,0.34476504,-9.600749,-1.7381904
0.023032596,4.5321164,0.003497433,0.029361458,0.11631405,0.34476504,-9.600749,-1.7381904
0.022999356,4.5321255,0.0045626974,0.026165664,0.11311826,0.37828386,-9.586384,-1.7238252
