Pitch,Roll,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z
6.0078454,3.5372221,-0.011754298,-0.0680926,-0.37332976,-6.046279,4.1761093,18.185404
6.007773,3.5371213,-0.010689033,-0.07128839,-0.3722645,-6.0565424,4.223036,18.214323
6.007699,3.537019,-0.010689033,-0.07128839,-0.3722645,-6.057241,4.2220697,18.21452
6.0076275,3.5369177,-0.008558504,-0.074484184,-0.3722645,-5.9621525,4.1684346,18.229078
6.0075555,3.5368161,-0.008558504,-0.074484184,-0.3722645,-5.9628334,4.1674743,18.229275
6.0074854,3.536713,-0.009623769,-0.076614715,-0.3722645,-5.973073,4.200019,18.219898
6.007416,3.5366096,-0.009623769,-0.076614715,-0.3722645,-5.973733,4.199045,18.2201
6.0073476,3.536505,-0.010689033,-0.078745246,-0.3722645,-5.9408574,4.2363667,18.191582
6.0072794,3.5364,-0.010689033,-0.078745246,-0.3722645,-5.9415007,4.2353783,18.191786
6.007212,3.5362966,-0.009623769,-0.078745246,-0.37119925,-5.9756594,4.2487726,18.158487
6.007145,3.5361931,-0.009623769,-0.078745246,-0.37119925,-5.9762964,4.247799,18.158699
6.0070767,3.5360897,-0.009623769,-0.077679984,-0.3722645,-5.986521,4.251612,18.16848
6.0070076,3.5359855,-0.009623769,-0.077679984,-0.3722645,-5.9871716,4.2506294,18.168684
6.0069385,3.5358803,-0.010689033,-0.077679984,-0.37439504,-5.983041,4.2161207,18.207207
6.006869,3.5357747,-0.010689033,-0.077679984,-0.37439504,-5.9837,4.215126,18.207418
6.0067983,3.5356686,-0.011754298,-0.076614715,-0.3754603,-6.0035214,4.2284904,18.236362
6.006727,3.5355616,-0.011754298,-0.076614715,-0.3754603,-6.004192,4.227481,18.236572
6.0066557,3.5354557,-0.010689033,-0.07554945,-0.37652555,-6.0288143,4.2264833,18.174528
6.0065837,3.53535,-0.010689033,-0.07554945,-0.37652555,-6.0294943,4.225485,18.174738
6.006511,3.535245,-0.010689033,-0.074484184,-0.37652555,-6.073274,4.1574526,18.15578
6.0064387,3.535139,-0.010689033,-0.074484184,-0.37652555,-6.073964,4.156454,18.15599
6.0063663,3.5350344,-0.009623769,-0.074484184,-0.37652555,-6.050706,4.2368655,18.17055
6.0062933,3.5349293,-0.009623769,-0.074484184,-0.37652555,-6.0513964,4.235871,18.170746
6.0062222,3.5348258,-0.008558504,-0.07554945,-0.3754603,-6.090377,4.182221,18.194895
6.006151,3.534722,-0.008558504,-0.07554945,-0.3754603,-6.09105,4.181241,18.19509
6.0060806,3.5346174,-0.009623769,-0.076614715,-0.37652555,-6.0869274,4.180254,18.219238
6.00601,3.534512,-0.009623769,-0.076614715,-0.37652555,-6.087594,4.179259,18.219435
6.0059404,3.5344052,-0.010689033,-0.077679984,-0.37759084,-6.0738907,4.206985,18.176561
6.0058703,3.5342987,-0.010689033,-0.077679984,-0.37759084,-6.074552,4.2059817,18.17678
6.005802,3.5341926,-0.010689033,-0.078745246,-0.37652555,-6.0560446,4.1906195,18.181786
6.0057335,3.5340858,-0.010689033,-0.078745246,-0.37652555,-6.056693,4.1896124,18.181995
6.0056663,3.5339801,-0.009623769,-0.07981051,-0.37652555,-6.057329,4.179043,18.196564
6.005599,3.5338745,-0.009623769,-0.07981051,-0.37652555,-6.057968,4.178051,18.196793
6.0055327,3.5337691,-0.009623769,-0.08087578,-0.37652555,-6.0442276,4.1722713,18.125174
6.0054665,3.533663,-0.009623769,-0.08087578,-0.37652555,-6.044857,4.171275,18.125397
6.0054026,3.5335577,-0.009623769,-0.08300631,-0.3754603,-6.0167294,4.170287,18.111256
6.0053387,3.5334513,-0.009623769,-0.08300631,-0.3754603,-6.017337,4.169294,18.11148
6.005276,3.533344,-0.010689033,-0.08513683,-0.37652555,-6.03229,4.16829,18.173958
6.005214,3.5332365,-0.010689033,-0.08513683,-0.37652555,-6.032879,4.167284,18.174181
6.0051546,3.5331306,-0.009623769,-0.08726736,-0.3754603,-6.0573845,4.1615067,18.188786
6.0050945,3.5330238,-0.009623769,-0.08726736,-0.3754603,-6.057951,4.160514,18.189026
6.005035,3.5329175,-0.009623769,-0.08726736,-0.3754603,-6.04894,4.188254,18.203629
6.004975,3.532811,-0.009623769,-0.08726736,-0.3754603,-6.0495057,4.187258,18.203857
6.004917,3.5327048,-0.009623769,-0.08833262,-0.37439504,-6.1075144,4.176692,18.189728
6.004859,3.532598,-0.009623769,-0.08833262,-0.37439504,-6.108066,4.1757016,18.189976
6.0048027,3.5324912,-0.009623769,-0.090463154,-0.37439504,-6.1421137,4.19865,18.214157
6.004747,3.5323846,-0.009623769,-0.090463154,-0.37439504,-6.142644,4.1976595,18.214407
6.004694,3.5322797,-0.00749324,-0.09365895,-0.37439504,-6.1383553,4.187112,18.200287
6.004641,3.5321746,-0.00749324,-0.09365895,-0.37439504,-6.138856,4.1861362,18.20053
6.0045905,3.5320694,-0.00749324,-0.09578948,-0.37439504,-6.129761,4.1995306,18.176846
6.0045395,3.531964,-0.00749324,-0.09578948,-0.37439504,-6.1302423,4.1985545,18.177097
6.00449,3.531858,-0.00749324,-0.09792001,-0.3754603,-6.1115546,4.1736355,18.162989
6.004441,3.5317523,-0.00749324,-0.09792001,-0.3754603,-6.1120186,4.172658,18.16323
6.004396,3.5316463,-0.00749324,-0.10218106,-0.37332976,-6.0645604,4.181262,18.259283
6.0043507,3.5315394,-0.00749324,-0.10218106,-0.37332976,-6.064987,4.1802807,18.25955
6.0043097,3.531436,-0.0064279754,-0.10431159,-0.37119925,-6.0797462,4.1745467,18.283766
6.0042677,3.531332,-0.0064279754,-0.10431159,-0.37119925,-6.080141,4.1735916,18.284037
6.004227,3.5312276,-0.005362711,-0.10644212,-0.37332976,-6.027854,4.182215,18.155022
6.0041866,3.5311236,-0.005362711,-0.10644212,-0.37332976,-6.028236,4.1812615,18.155287
6.0041475,3.5310178,-0.0064279754,-0.10857265,-0.37332976,-6.00466,4.1515646,18.213028
6.004109,3.5309126,-0.0064279754,-0.10857265,-0.37332976,-6.0050287,4.1506047,18.213318
6.0040703,3.530806,-0.00749324,-0.10857265,-0.37332976,-5.986241,4.144843,18.199238
6.0040317,3.5306997,-0.00749324,-0.10857265,-0.37332976,-5.9866047,4.1438737,18.19952
6.003994,3.5305946,-0.0064279754,-0.10857265,-0.37013397,-6.0204773,4.1477046,18.180653
6.0039573,3.5304902,-0.0064279754,-0.10857265,-0.37013397,-6.020829,4.146752,18.180933
6.0039196,3.5303853,-0.0064279754,-0.10857265,-0.37013397,-6.030758,4.179313,18.190788
6.003883,3.5302806,-0.0064279754,-0.10857265,-0.37013397,-6.0311093,4.17836,18.191076
6.003844,3.5301747,-0.0064279754,-0.10857265,-0.37332976,-5.959648,4.1342955,18.191345
6.0038056,3.5300694,-0.0064279754,-0.10857265,-0.37332976,-5.9600134,4.133336,18.191639
6.003765,3.5299633,-0.0064279754,-0.107507385,-0.37439504,-5.8933563,4.1754594,18.287678
6.003725,3.5298574,-0.0064279754,-0.107507385,-0.37439504,-5.893737,4.174491,18.28796
6.003683,3.5297506,-0.00749324,-0.105376855,-0.37439504,-5.9085,4.1447845,18.216413
6.003641,3.5296443,-0.00749324,-0.105376855,-0.37439504,-5.9088945,4.1438093,18.216682
6.0034947,3.529314,-0.00749324,-0.09792001,-0.37652555,-5.895914,4.155135,18.227076
6.0034947,3.529314,-0.00749324,-0.09792001,-0.37652555,-5.895914,4.155135,18.227076
6.0034947,3.529314,-0.00749324,-0.09792001,-0.37652555,-5.895914,4.155135,18.227076
6.0034947,3.529314,-0.00749324,-0.09792001,-0.37652555,-5.895914,4.155135,18.227076
6.003399,3.52911,-0.0064279754,-0.094724216,-0.37759084,-5.944707,4.167614,18.27066
6.0033417,3.528996,-0.0064279754,-0.094724216,-0.37759084,-5.945245,4.1665573,18.270927
6.0033417,3.528996,-0.0064279754,-0.094724216,-0.37759084,-5.945245,4.1665573,18.270927
6.0032363,3.5287917,-0.0064279754,-0.092593685,-0.37652555,-5.9031477,4.140717,18.266592
6.003177,3.5286846,-0.0064279754,-0.08833262,-0.37439504,-5.9515905,4.149295,18.27162
6.003177,3.5286846,-0.0064279754,-0.08833262,-0.37439504,-5.9515905,4.149295,18.27162
6.003048,3.5284636,-0.00749324,-0.08407157,-0.37439504,-5.9097185,4.1807456,18.262505
6.002992,3.528369,-0.00749324,-0.08407157,-0.37439504,-5.9102435,4.179861,18.262709
6.0029283,3.5282655,-0.00749324,-0.07981051,-0.37332976,-5.9300027,4.1980433,18.248545
6.0029283,3.5282655,-0.00749324,-0.07981051,-0.37332976,-5.9300027,4.1980433,18.248545
6.002802,3.5280638,-0.00749324,-0.076614715,-0.37119925,-5.921623,4.15784,18.296835
6.002802,3.5280638,-0.00749324,-0.076614715,-0.37119925,-5.921623,4.15784,18.296835
6.0026636,3.527855,-0.008558504,-0.07235366,-0.3722645,-5.9325027,4.1223497,18.191883
6.0025954,3.5277545,-0.008558504,-0.07235366,-0.3722645,-5.9331512,4.1214013,18.192074
6.0025954,3.5277545,-0.008558504,-0.07235366,-0.3722645,-5.9331512,4.1214013,18.192074
6.002445,3.5275407,-0.009623769,-0.06915787,-0.37332976,-6.015973,4.1576786,18.173294
6.002367,3.5274334,-0.010689033,-0.065962076,-0.37439504,-6.0454407,4.1327176,18.216576
6.002367,3.5274334,-0.010689033,-0.065962076,-0.37439504,-6.0454407,4.1327176,18.216576
6.0022144,3.5272255,-0.009623769,-0.063831545,-0.37332976,-5.8697157,4.1115866,18.255236
