Pitch,Roll,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z
6.1286874,5.3155584,-0.10443231,0.17265716,-0.17945164,0.56394815,-1.2632189,-4.6103
6.128618,5.3153787,-0.10443231,0.17265716,-0.17945164,0.5632701,-1.2623178,-4.608803
6.1285663,5.315187,-0.116150215,0.18224454,-0.16986425,0.37123346,-1.2948414,-4.6359515
6.1285143,5.3149943,-0.116150215,0.18224454,-0.16986425,0.37072825,-1.2938441,-4.6343637
6.1284604,5.3147936,-0.12680286,0.18437508,-0.16027687,0.84425616,-1.2880182,-4.5321527
6.1284065,5.3145924,-0.12680286,0.18437508,-0.16027687,0.8437295,-1.2869768,-4.5304947
6.128354,5.3143816,-0.13745551,0.18544033,-0.15282002,1.0203927,-1.2236316,-4.380318
6.1283016,5.31417,-0.13745551,0.18544033,-0.15282002,1.019881,-1.2225335,-4.3785777
6.1282487,5.313947,-0.14917341,0.18544033,-0.14962423,1.1821723,-1.3650281,-4.376747
6.1281962,5.3137245,-0.14917341,0.18544033,-0.14962423,1.1816597,-1.3638697,-4.37492
6.1281486,5.313491,-0.15982606,0.18757087,-0.14962423,1.0040317,-1.3578537,-4.396947
6.1281013,5.313257,-0.15982606,0.18757087,-0.14962423,1.0035696,-1.3566291,-4.395033
6.128068,5.3130126,-0.16834818,0.19076666,-0.1474937,0.5483475,-1.3218083,-4.4552913
6.1280346,5.3127685,-0.16834818,0.19076666,-0.1474937,0.5480237,-1.3205093,-4.4533043
6.1279993,5.3125167,-0.17793556,0.19396245,-0.13897158,1.0313089,-1.4676096,-4.345908
6.127965,5.3122697,-0.17793556,0.19396245,-0.13897158,1.030973,-1.4662993,-4.343899
6.1279325,5.312008,-0.1885882,0.19822352,-0.13364527,1.2030439,-1.5463035,-4.2699437
6.127899,5.311741,-0.1885882,0.19822352,-0.13364527,1.2027206,-1.5448802,-4.2677703
6.1278706,5.311471,-0.19817558,0.20674562,-0.13364527,1.2982068,-1.6248391,-4.3421926
6.1278415,5.311202,-0.19817558,0.20674562,-0.13364527,1.2979269,-1.6234028,-4.3400116
6.12782,5.3109236,-0.20669769,0.21313721,-0.13790633,0.96731925,-1.6506348,-4.3042345
6.1277986,5.310643,-0.20669769,0.21313721,-0.13790633,0.9671085,-1.6491253,-4.301964
6.1277685,5.3103595,-0.21521981,0.21739827,-0.14110212,1.3067923,-1.6859181,-4.074604
6.1277385,5.310075,-0.21521981,0.21739827,-0.14110212,1.3064983,-1.6843984,-4.0722923
6.1277137,5.309783,-0.2216114,0.21846354,-0.14216739,1.0859909,-1.778604,-4.0555625
6.127689,5.3094916,-0.2216114,0.21846354,-0.14216739,1.0857506,-1.7770393,-4.0531955
6.127656,5.3091955,-0.22693771,0.21739827,-0.14642844,1.2626028,-1.8951721,-3.9741745
6.127623,5.3088994,-0.22693771,0.21739827,-0.14642844,1.262284,-1.8935976,-3.971765
6.1275783,5.3086023,-0.22906825,0.21313721,-0.15388529,1.3767681,-1.7771106,-3.9070883
6.127533,5.3083057,-0.22906825,0.21313721,-0.15388529,1.3763301,-1.7755463,-3.9046605
6.127491,5.3080015,-0.23119877,0.21207196,-0.16027687,0.9736967,-1.754787,-4.050617
6.12745,5.307702,-0.23119877,0.21207196,-0.16027687,0.9732976,-1.753207,-4.0481744
6.1274023,5.3074,-0.23332931,0.21420248,-0.16134214,1.2218273,-1.7324724,-3.8637447
6.127354,5.3070984,-0.23332931,0.21420248,-0.16134214,1.22136,-1.7308874,-3.861276
6.1272993,5.3068004,-0.23332931,0.21846354,-0.16453794,1.5464418,-1.8921378,-3.8492494
6.1272445,5.3065014,-0.23332931,0.21846354,-0.16453794,1.5459065,-1.8905814,-3.8467937
6.1271877,5.306204,-0.23226404,0.2227246,-0.17519058,1.3538179,-1.8890328,-3.8491383
6.127131,5.305908,-0.23226404,0.2227246,-0.17519058,1.3532667,-1.8874948,-3.846704
6.1270657,5.3056107,-0.23226404,0.22378986,-0.18797375,1.2520742,-1.8907523,-3.7101798
6.1270003,5.305315,-0.23226404,0.22378986,-0.18797375,1.25144,-1.8892319,-3.707741
6.126934,5.305018,-0.23119877,0.22059406,-0.19649588,0.9108186,-1.79672,-3.767536
6.126868,5.304722,-0.23119877,0.22059406,-0.19649588,0.9101753,-1.7951969,-3.7650933
6.126773,5.30443,-0.22693771,0.21526775,-0.20182219,1.632299,-1.7075462,-3.532816
6.126681,5.304147,-0.22693771,0.21526775,-0.20182219,1.6314087,-1.7061253,-3.5304518
6.126559,5.303866,-0.2216114,0.21100669,-0.21140957,2.396364,-1.9537542,-3.3078115
6.126441,5.303595,-0.2216114,0.21100669,-0.21140957,2.395218,-1.9524374,-3.305528
6.1263094,5.303328,-0.21415454,0.21207196,-0.23058434,2.269447,-2.0756564,-3.298473
6.1261773,5.3030596,-0.21415454,0.21207196,-0.23058434,2.2681603,-2.0743697,-3.2961898
6.1260304,5.302805,-0.2035019,0.21739827,-0.2561507,2.0895648,-2.0923343,-3.1503582
6.1258826,5.3025484,-0.2035019,0.21739827,-0.2561507,2.0881207,-2.0911396,-3.1481595
6.1257205,5.30231,-0.18965346,0.2195288,-0.27745596,1.9859915,-2.0565393,-3.0311751
6.1255574,5.3020706,-0.18965346,0.2195288,-0.27745596,1.9844065,-2.055453,-3.0291004
6.125373,5.3018446,-0.1736745,0.216333,-0.29982653,1.9395201,-2.1167183,-3.094154
6.1251936,5.3016243,-0.1736745,0.216333,-0.29982653,1.9377756,-2.115759,-3.0922217
6.124995,5.301422,-0.15449974,0.20994142,-0.32219708,1.7443149,-2.0047882,-3.19576
6.124797,5.3012195,-0.15449974,0.20994142,-0.32219708,1.7423847,-2.00395,-3.193951
6.1245823,5.301035,-0.13425972,0.20354983,-0.34030658,1.5200317,-1.8547924,-3.1779113
6.1243687,5.3008523,-0.13425972,0.20354983,-0.34030658,1.5179589,-1.8540852,-3.176251
6.124145,5.3006897,-0.11188915,0.19715825,-0.35522026,1.2380574,-1.7002668,-3.3327594
6.123865,5.300486,-0.11188915,0.19715825,-0.35522026,1.2353363,-1.6995348,-3.3308725
6.1236763,5.3003783,-0.08845334,0.19076666,-0.36693817,1.3484256,-1.5842767,-3.3106844
6.1236763,5.3003783,-0.08845334,0.19076666,-0.36693817,1.3484256,-1.5842767,-3.3106844
6.1231904,5.300116,-0.06608278,0.18544033,-0.37759084,1.1521673,-1.4111145,-3.557137
6.1229415,5.299999,-0.06608278,0.18544033,-0.37759084,1.1497524,-1.4108076,-3.5559783
6.1229415,5.299999,-0.04584276,0.17904875,-0.38930875,1.1497524,-1.4108076,-3.5559783
6.122389,5.2997923,-0.04584276,0.17904875,-0.38930875,1.0198865,-1.338593,-3.654381
6.122123,5.299712,-0.028798528,0.17265716,-0.3967656,0.9311068,-1.2475326,-3.7923634
6.121872,5.299637,-0.028798528,0.17265716,-0.3967656,0.9286752,-1.2474535,-3.791534
6.1216,5.299568,-0.01708062,0.16839612,-0.40102664,0.9547641,-1.2426546,-3.9152398
6.1216,5.299568,-0.01708062,0.16839612,-0.40102664,0.9547641,-1.2426546,-3.9152398
6.1212993,5.2994924,-0.01708062,0.16839612,-0.40102664,0.9518442,-1.242645,-3.9143639
6.121023,5.2994304,-0.008558504,0.16520031,-0.4052877,0.70495105,-1.1900016,-3.961502
6.1207542,5.29937,-0.008558504,0.16520031,-0.4052877,0.7023425,-1.1900301,-3.9607759
6.1204944,5.2993174,-3.6388636e-05,0.16200452,-0.4052877,0.49143362,-1.1518487,-4.13665
6.1199727,5.299222,0.010616256,0.15880872,-0.40422243,0.44575596,-1.1711211,-4.126485
6.119739,5.2991834,0.010616256,0.15880872,-0.40422243,0.4434836,-1.171228,-4.125967
6.1194835,5.2991514,0.022334166,0.15454768,-0.40102664,0.3212967,-1.1091456,-4.1350584
6.1194835,5.2991514,0.022334166,0.15454768,-0.40102664,0.3212967,-1.1091456,-4.1350584
6.1189523,5.2990875,0.034052074,0.15135187,-0.3967656,0.27783203,-1.1143,-4.21547
6.1187077,5.2990665,0.034052074,0.15135187,-0.3967656,0.27545476,-1.1145165,-4.215082
6.118453,5.2990584,0.048965774,0.15135187,-0.39143926,0.1820066,-1.0669303,-4.21479
6.118199,5.2990503,0.048965774,0.15135187,-0.39143926,0.17953753,-1.0672287,-4.2144995
6.117956,5.299059,0.066010006,0.15454768,-0.38291714,0.08141422,-1.0388722,-4.2718124
6.1177144,5.2990675,0.066010006,0.15454768,-0.38291714,0.079067945,-1.0392449,-4.271665
6.1174793,5.299092,0.081988975,0.1566782,-0.3722645,0.17734385,-1.010962,-4.2668624
6.1172447,5.299116,0.081988975,0.1566782,-0.3722645,0.17506623,-1.0114106,-4.2668486
